StateID,StartYear,EndYear,Name,Position Name,Race,Gender,Party,Age
1,5/7/68,1/18/71,Albert Brewer,Governor,White,Male,Democratic,40
1,1/19/71,1/15/79,George Wallace,Governor,White,Male,Democratic,44
1,1/16/79,1/17/83,Fob James,Governor,White,Male,Democratic,45
1,1/18/83,1/19/87,George Wallace,Governor,White,Male,Democratic,52
1,1/20/87,4/22/93,H. Guy Hunt,Governor,White,Male,Republican,54
1,4/22/93,1/16/95,Jim Folsom Jr.,Governor,White,Male,Democratic,44
1,1/17/95,1/18/99,Fob James,Governor,White,Male,Republican,61
1,1/19/99,1/20/03,Don Siegelman,Governor,White,Male,Democratic,53
1,1/21/03,1/17/11,Bob Riley,Governor,White,Male,Republican,59
1,1/18/11,4/10/17,Robert J. Bentley,Governor,White,Male,Republican,68
1,4/10/17,,Kay Ivey,Governor,White,Female,Republican,73
2,1/29/69,12/7/70,Keith Harvey Miller,Governor,White,Male,Republican,44
2,12/7/70,12/2/74,William Allen Egan,Governor,White,Male,Democratic,56
2,12/2/74,12/6/82,Jay Hammond,Governor,White,Male,Republican,52
2,12/6/82,12/1/86,Bill Sheffield,Governor,White,Male,Democratic,54
2,12/1/86,12/3/90,Steve Cowper,Governor,White,Male,Democratic,48
2,12/3/90,12/5/94,Wally Hickel,Governor,White,Male,Independent,71
2,12/5/94,12/2/02,Tony Knowles,Governor,White,Male,Democratic,51
2,12/2/02,12/4/06,Frank Murkowski,Governor,White,Male,Republican,69
2,12/4/06,7/26/09,Sarah Palin,Governor,White,Female,Republican,42
2,7/26/09,12/1/14,Sean Parnell,Governor,White,Male,Republican,47
2,12/1/14,12/3/18,Bill Walker,Governor,White,Male,Independent,63
2,12/3/18,,Mike J. Dunleavy,Governor,White,Male,Republican,57
3,1/2/67,1/6/75,Jack Richard Williams,Governor,White,Male,Republican,58
3,1/6/75,10/20/77,Raúl Héctor Castro,Governor,Hispanic,Male,Democratic,59
3,10/20/77,3/4/78,Wesley Bolin,Governor,White,Male,Democratic,-1
3,3/4/78,1/5/87,Bruce Babbitt,Governor,White,Male,Democratic,40
3,1/5/87,4/4/88,Evan Mecham,Governor,White,Male,Republican,-21
